                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5282,                 4.8019,                 1.6179,                      0,                      0,                      0,                      0,                 2.9083,                 5.7703,                 2.3174,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.7438,                 4.9774,                 1.8436,                      0,                      0,                      0,                      0,                 2.9083,                 5.7703,                 2.3174,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.7743,                  4.928,                 1.7332,                      0,                      0,                      0,                      0,                 2.8823,                 5.7793,                 2.2972,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 1.2362,                 4.6861,                 1.4317,                      0,                      0,                      0,                      0,                 2.8823,                 5.7793,                 2.2972,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.4368,                  4.658,                 1.7765,                      0,                      0,                      0,                      0,                 2.8573,                 5.7985,                  2.298,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.1242,                 4.8306,                 1.9617,                      0,                      0,                      0,                      0,                 2.8573,                 5.7985,                  2.298,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.1177,                 4.7448,                 1.4812,                      0,                      0,                      0,                      0,                 2.8388,                 5.8108,                 2.2919,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.8094,                 4.9996,                 1.7442,                      0,                      0,                      0,                      0,                 2.8388,                 5.8108,                 2.2919,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.2566,                 4.7388,                 1.5216,                      0,                      0,                      0,                      0,                 2.8267,                 5.8036,                 2.2811,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.3764,                 4.7522,                 1.4649,                      0,                      0,                      0,                      0,                 2.8267,                 5.8036,                 2.2811,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.7183,                 4.9104,                 1.7196,                      0,                      0,                      0,                      0,                 2.8278,                 5.8224,                  2.273,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.3986,                 4.7539,                 1.6225,                      0,                      0,                      0,                      0,                 2.8278,                 5.8224,                  2.273,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.3672,                 4.7756,                 1.5761,                      0,                      0,                      0,                      0,                 2.8293,                 5.8284,                 2.2658,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.4491,                 4.7908,                 1.6231,                      0,                      0,                      0,                      0,                 2.8293,                 5.8284,                 2.2658,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.2422,                 4.7126,                 1.5571,                      0,                      0,                      0,                      0,                 2.8134,                 5.8315,                  2.259,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.7051,                 4.8347,                  1.716,                      0,                      0,                      0,                      0,                 2.8134,                 5.8315,                  2.259,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.4456,                 4.9386,                 1.5672,                      0,                      0,                      0,                      0,                 2.7783,                 5.8203,                 2.2445,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.2413,                 4.8022,                 1.6349,                      0,                      0,                      0,                      0,                 2.7783,                 5.8203,                 2.2445,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.3892,                 4.8045,                  1.688,                      0,                      0,                      0,                      0,                 2.7783,                 5.8203,                 2.2445,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.3114,                 4.6822,                 1.4963,                      0,                      0,                      0,                      0,                 2.7709,                 5.8077,                 2.2367,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                  1.438,                 4.9521,                 1.6169,                      0,                      0,                      0,                      0,                 2.7709,                 5.8077,                 2.2367,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.3568,                 4.7959,                 1.6123,                      0,                      0,                      0,                      0,                 2.7709,                 5.8077,                 2.2367,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.4369,                 4.7396,                 1.6051,                      0,                      0,                      0,                      0,                 2.7709,                 5.7885,                 2.2329,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.4469,                 4.6832,                 1.4292,                      0,                      0,                      0,                      0,                 2.7709,                 5.7885,                 2.2329,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.3568,                 4.6563,                 1.5149,                      0,                      0,                      0,                      0,                 2.7709,                 5.7885,                 2.2329,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.3273,                  4.805,                 1.4998,                      0,                      0,                      0,                      0,                 2.7638,                 5.7753,                 2.2388,               2.92e-05,               2.92e-05,               2.92e-05
